DISTNUM,DISTNAME,FIRST,LAST,PARTY,NAME,Year
1,"Berkshire, Hampden, Hampshire and Franklin",Andrea F.,"Nuciforo, Jr.",(D),"Andrea F. Nuciforo, Jr. (D)",1993
2,First Bristol,Joan M.,Menard,(D),Joan M. Menard (D),1993
3,Second Bristol,Mark C.,Montigny,(D),Mark C. Montigny (D),1993
4,First Plymouth and Bristol,Marc R.,Pacheco,(D),Marc R. Pacheco (D),1993
5,Cape and Islands,Robert,O'Leary,(D),Robert O'Leary (D),1993
6,First Essex,Edward J.,"Clancy, Jr.",(D),"Edward J. Clancy, Jr. (D)",1993
7,Second Essex,Frederick E.,Berry,(D),Frederick E. Berry (D),1993
8,Third Essex,James P.,Jajuga,(D),James P. Jajuga (D),1993
9,First Essex and Middlesex,Bruce E.,Tarr,(R),Bruce E. Tarr (R),1993
10,Second Essex and Middlesex,Susan C.,Tucker,(D),Susan C. Tucker (D),1993
11,Hampshire and Franklin,Stanley C.,Rosenberg,(D),Stanley C. Rosenberg (D),1993
12,Hampden,Linda J.,Melconian,(D),Linda J. Melconian (D),1993
13,First Hampden and Hampshire,Brian P.,Lees,(R),Brian P. Lees (R),1993
14,Second Hampden and Hampshire,Michael R.,Knapik,(D),Michael R. Knapik (D),1993
15,First Middlesex,Steven C.,Panagiotakos,(D),Steven C. Panagiotakos (D),1993
16,Second Middlesex,Charles E.,Shannon,(D),Charles E. Shannon (D),1993
17,Third Middlesex,Richard R.,Tisei,(R),Richard R. Tisei (R),1993
18,Fourth Middlesex,Robert A.,Havern III,(D),Robert A. Havern III (D),1993
19,Fifth Middlesex,Susan,Fargo,(D),Susan Fargo (D),1993
20,First Middlesex and Norfolk,Cynthia Stone,Creem,(D),Cynthia Stone Creem (D),1993
21,"Middlesex, Norfolk & Worcester",David P.,Magnani,(D),David P. Magnani (D),1993
22,Middlesex and Suffolk,Steven,Tolman,(D),Steven Tolman (D),1993
23,Middlesex and Worcester,Pamela P.,Resor,(D),Pamela P. Resor (D),1993
24,Norfolk and Plymouth,Michael W.,Morrissey,(D),Michael W. Morrissey (D),1993
25,"Norfolk, Bristol and Plymouth",Jo Ann,Sprague,(R),Jo Ann Sprague (R),1993
26,"Norfolk, Bristol and Middlesex",Cheryl A.,Jacques,(D),Cheryl A. Jacques (D),1993
27,Plymouth and Norfolk,Robert L.,Hedlund,(R),Robert L. Hedlund (R),1993
28,Second Plymouth and Bristol,Robert S.,"Creedon, Jr.",(D),"Robert S. Creedon, Jr. (D)",1993
29,Plymouth and Barnstable,Therese,Murray,(D),Therese Murray (D),1993
30,First Suffolk,Stephen F.,Lynch,(D),Stephen F. Lynch (D),1993
31,Second Suffolk,Dianne,Wilkerson,(D),Dianne Wilkerson (D),1993
32,"Middlesex, Suffolk and Essex",Thomas F.,Birmingham,(D),Thomas F. Birmingham (D),1993
33,Suffolk and Middlesex,Robert E.,Travaglini,(D),Robert E. Travaglini (D),1993
34,Norfolk and Suffolk,Marian,Walsh,(D),Marian Walsh (D),1993
35,Suffolk and Norfolk,Brian A.,Joyce,(D),Brian A. Joyce (D),1993
36,First Worcester,Harriett L.,Chandler,(D),Harriett L. Chandler (D),1993
37,"Worcester, Hampden, Hampshire and Franklin",Stephen M.,Brewer,(D),Stephen M. Brewer (D),1993
38,Second Worcester,Guy William,Glodis,(D),Guy William Glodis (D),1993
39,Worcester and Middlesex,Robert A.,Antonioni,(D),Robert A. Antonioni (D),1993
40,Worcester and Norfolk,Richard T.,Moore,(D),Richard T. Moore (D),1993
1,"Berkshire, Hampshire and Franklin",Benjamin B.,Downing,(D),Benjamin B. Downing (D),2002
2,First Bristol and Plymouth,Michael J.,Rodrigues,(D),Michael J. Rodrigues (D),2002
3,Second Bristol and Plymouth,Mark C.,Montigny,(D),Mark C. Montigny (D),2002
4,First Plymouth and Bristol,Marc R.,Pacheco,(D),Marc R. Pacheco (D),2002
5,Cape and Islands,Daniel A.,Wolf,(D),Daniel A. Wolf (D),2002
6,Third Essex and Middlesex,Thomas M.,McGee,(D),Thomas M. McGee (D),2002
7,Second Essex,Frederick E.,Berry,(D),Frederick E. Berry (D),2002
8,First Essex,Steven A.,Baddour,(D),Steven A. Baddour (D),2002
9,First Essex and Middlesex,Bruce E.,Tarr,(R),Bruce E. Tarr (R),2002
10,Second Essex and Middlesex,Barry R.,Finegold,(D),Barry R. Finegold (D),2002
11,Hampshire and Franklin,Stanley C.,Rosenberg,(D),Stanley C. Rosenberg (D),2002
12,Hampden,James T.,Welch,(D),James T. Welch (D),2002
13,First Hampden and Hampshire,Gale D.,Candaras,(D),Gale D. Candaras (D),2002
14,Second Hampden and Hampshire,Michael R.,Knapik,(D),Michael R. Knapik (R),2002
15,First Middlesex,Eileen M.,Donoghue,(D),Eileen M. Donoghue (D),2002
16,Second Middlesex,Patricia D.,Jehlen,(D),Patricia D. Jehlen (D),2002
17,Middlesex and Essex,Katherine M.,Clark,(D),Katherine M. Clark (D),2002
18,Fourth Middlesex,Kenneth J.,Donnelly,(D),Kenneth J. Donnelly (D),2002
19,Third Middlesex,Susan C.,Fargo,(D),Susan C. Fargo (D),2002
20,First Middlesex and Norfolk,Cynthia Stone,Creem,(D),Cynthia Stone Creem (D),2002
21,Second Middlesex and Norfolk,Karen E.,Spilka,(D),Karen E. Spilka (D),2002
22,Second Suffolk and Middlesex,Steven A.,Tolman,(D),Steven A. Tolman (D),2002
23,Middlesex and Worcester,James B.,Eldridge,(D),James B. Eldridge (D),2002
24,Norfolk and Plymouth,John F.,Keenan,(D),John F. Keenan (D),2002
25,Bristol and Norfolk,James E.,Timilty,(D),James E. Timilty (D),2002
26,"Norfolk, Bristol and Middlesex",Richard J.,Ross,(R),Richard J. Ross (R),2002
27,Plymouth and Norfolk,Robert L.,Hedlund,(R),Robert L. Hedlund (R),2002
28,Second Plymouth and Bristol,Thomas P.,Kennedy,(D),Thomas P. Kennedy (D),2002
29,Plymouth and Barnstable,Therese,Murray,(D),Therese Murray (D),2002
30,First Suffolk,John A.,Hart Jr.,(D),John A. Hart Jr. (D),2002
31,Second Suffolk,Sonia,Chang-Diaz,(D),Sonia Chang-Diaz (D),2002
32,"Middlesex, Suffolk and Essex",Sal N.,DiDomenico,(D),Sal N. DiDomenico (D),2002
33,First Suffolk and Middlesex,Anthony W.,Petruccelli,(D),Anthony W. Petruccelli (D),2002
34,Suffolk and Norfolk,Michael F.,Rush,(D),Michael F. Rush (D),2002
35,"Norfolk, Bristol and Plymouth",Brian A.,Joyce,(D),Brian A. Joyce (D),2002
36,First Worcester,Harriette L.,Chandler,(D),Harriette L. Chandler (D),2002
37,"Worcester, Hampden, Hampshire and Franklin",Stephen M.,Brewer,(D),Stephen M. Brewer (D),2002
38,Second Worcester,Michael O,Moore,(D),Michael O. Moore (D),2002
39,Worcester and Middlesex,Jennifer L.,Flanagan,(D),Jennifer L. Flanagan (D),2002
40,Worcester and Norfolk,Richard T.,Moore,(D),Richard T. Moore (D),2002
1,"Berkshire, Hampshire and Franklin",Adam G.,Hinds,(D),Adam G. Hinds (D),2012
2,First Bristol and Plymouth,Michael J.,Rodrigues,(D),Michael J. Rodrigues (D),2012
3,Second Bristol and Plymouth,Mark C.,Montigny,(D),Mark C. Montigny (D),2012
4,First Plymouth and Bristol,Marc R.,Pacheco,(D),Marc R. Pacheco (D),2012
5,Cape and Islands,Julian A.,Cyr,(D),Julian A. Cyr (D),2012
6,Third Essex,Thomas M.,McGee,(D),Thomas M. McGee (D),2012
7,Second Essex,Joan B.,Lovely,(D),Joan B. Lovely (D),2012
8,First Essex,Kathleen A.,O'Connor-Ives,(D),Kathleen A. O'Connor-Ives (D),2012
9,First Essex and Middlesex,Bruce E.,Tarr,(R),Bruce E. Tarr (R),2012
10,Second Essex and Middlesex,Barbara A.,L'Italien,(D),Barbara A. L'Italien (D),2012
11,"Hampshire, Franklin and Worcester",Stanley C.,Rosenberg,(D),Stanley C. Rosenberg (D),2012
12,Hampden,James T.,Welch,(D),James T. Welch (D),2012
13,First Hampden and Hampshire,Eric Philip,Lesser,(D),Eric Philip Lesser (D),2012
14,Second Hampden and Hampshire,Donald F.,"Humason, Jr.",(R),"Donald F. Humason, Jr. (R)",2012
15,First Middlesex,Eileen M.,Donoghue,(D),Eileen M. Donoghue (D),2012
16,Second Middlesex,Patricia D.,Jehlen,(D),Patricia D. Jehlen (D),2012
17,Fifth Middlesex,Jason M.,Lewis,(D),Jason M. Lewis (D),2012
18,Fourth Middlesex,Kenneth J.,Donnelly,(D),Kenneth J. Donnelly (D),2012
19,Third Middlesex,Michael J.,Barrett,(D),Michael J. Barrett (D),2012
20,First Middlesex and Norfolk,Cynthia Stone,Creem,(D),Cynthia Stone Creem (D),2012
21,Second Middlesex and Norfolk,Karen E.,Spilka,(D),Karen E. Spilka (D),2012
22,Second Suffolk and Middlesex,William N.,Brownsberger,(D),William N. Brownsberger (D),2012
23,Middlesex and Worcester,James B.,Eldridge,(D),James B. Eldridge (D),2012
24,Norfolk and Plymouth,John F.,Keenan,(D),John F. Keenan (D),2012
25,Bristol and Norfolk,James E.,Timilty,(D),James E. Timilty (D),2012
26,"Norfolk, Bristol and Middlesex",Richard J.,Ross,(R),Richard J. Ross (R),2012
27,Plymouth and Norfolk,Patrick M.,O'Connor,(R),Patrick M. O'Connor (R),2012
28,Second Plymouth and Bristol,Michael D.,Brady,(D),Michael D. Brady (D),2012
29,Plymouth and Barnstable,Vinny M.,deMacedo,(R),Vinny M. deMacedo (R),2012
30,First Suffolk,Linda Dorcena,Forry,(D),Linda Dorcena Forry (D),2012
31,Second Suffolk,Sonia R.,Chang-Diaz,(D),Sonia R. Chang-Diaz (D),2012
32,Middlesex and Suffolk,Sal N.,DiDomenico,(D),Sal N. DiDomenico (D),2012
33,First Suffolk and Middlesex,Joseph A.,Boncore,(D),Joseph A. Boncore (D),2012
34,Norfolk and Suffolk,Michael F.,Rush,(D),Michael F. Rush (D),2012
35,"Norfolk, Bristol and Plymouth",Walter F.,Timilty,(D),Walter F. Timilty (D),2012
36,First Worcester,Harriette L.,Chandler,(D),Harriette L. Chandler (D),2012
37,"Worcester, Hampden, Hampshire and Middlesex",Anne M.,Gobi,(D),Anne M. Gobi (D),2012
38,Second Worcester,Michael O.,Moore,(D),Michael O. Moore (D),2012
39,Worcester and Middlesex,Jennifer L.,Flanagan,(D),Jennifer L. Flanagan (D),2012
40,Worcester and Norfolk,Ryan C.,Fattman,(R),Ryan C. Fattman (R),2012
